Route Number,Total Trains in Route,Segment Number,Train Number,Train Name,From Station,Departure Time,To Station,Arrival Time,Segment Distance (km),Segment Duration (hrs),Seat Availability,Waiting Time Before Segment (hrs),Total Route Distance (km),Total Route Duration,Estimated Cost (₹)
46,3,1,12625,KERALA EXPRE,PGT,18:45:00,NDLS,13:45:00,2643.0,45.57,1,0.0,4358.0,87h 1m,4358.0
46,3,2,19805,KOTA-UHP WEE,NDLS,23:20:00,UHP,12:15:00,629.0,11.44,1,9.58,4358.0,87h 1m,4358.0
46,3,3,19806,UHP-KOTA WEE,UHP,14:35:00,KOTA,11:10:00,1086.0,18.1,1,2.33,4358.0,87h 1m,4358.0
47,3,1,12625,KERALA EXPRE,PGT,18:45:00,NDLS,13:45:00,2643.0,45.57,1,0.0,3188.0,90h 51m,3188.0
47,3,2,64003,NDLS-SNP 12C,NDLS,05:00:00,SNP,06:10:00,44.0,1.16,1,15.25,3188.0,90h 51m,3188.0
47,3,3,19806,UHP-KOTA WEE,SNP,01:56:00,KOTA,11:10:00,501.0,9.11,1,19.77,3188.0,90h 51m,3188.0
48,3,1,12625,KERALA EXPRE,PGT,18:45:00,NDLS,13:45:00,2643.0,45.57,1,0.0,3279.0,67h 16m,3279.0
48,3,2,64471,GZB-PNP MEMU,NDLS,18:07:00,PNP,20:20:00,89.0,2.34,1,4.37,3279.0,67h 16m,3279.0
48,3,3,19806,UHP-KOTA WEE,PNP,01:23:00,KOTA,11:10:00,547.0,9.95,1,5.05,3279.0,67h 16m,3279.0
49,3,1,12625,KERALA EXPRE,PGT,18:45:00,NDLS,13:45:00,2643.0,45.57,1,0.0,3101.0,77h 47m,3101.0
49,3,2,64908,SSB-BVH-PWL,NDLS,06:30:00,BVH,07:35:00,33.0,0.87,1,16.75,3101.0,77h 47m,3101.0
49,3,3,12060,KOTA JANSHTB,BVH,13:41:00,KOTA,20:00:00,425.0,8.5,1,6.1,3101.0,77h 47m,3101.0
50,3,1,16359,ERS PATNA EX,PGT,02:05:00,PNBE,09:50:00,2837.0,48.91,0,0.0,4082.0,95h 15m,4082.0
50,3,2,63213,PNBE-ARA MEM,PNBE,17:15:00,ARA,18:50:00,49.0,1.29,1,7.42,4082.0,95h 15m,4082.0
50,3,3,13237,PNBE- KOTA,ARA,12:32:00,KOTA,12:55:00,1196.0,19.93,1,17.7,4082.0,95h 15m,4082.0
51,3,1,16359,ERS PATNA EX,PGT,02:05:00,PNBE,09:50:00,2837.0,48.91,0,0.0,4035.0,94h 28m,4035.0
51,3,2,63213,PNBE-ARA MEM,PNBE,17:15:00,ARA,18:50:00,49.0,1.29,1,7.42,4035.0,94h 28m,4035.0
